Year,Month,Day,norm_vel
2007,8,16,16.00909
2007,8,17,12.676082
2007,8,18,2.804228
2007,8,19,3.6762412
2007,8,20,13.490642
2007,8,21,6.4197564
2007,8,22,3.0105321
2007,8,23,5.209792
2007,8,24,7.819408
2007,8,25,10.338002
2007,8,26,11.353532
2007,8,27,10.632725
2007,8,28,6.591267
2007,8,29,5.357008
2007,8,30,2.8715901
2007,8,31,4.2082996
2007,9,1,13.503251
2007,9,2,14.555278
2007,9,3,14.708978
2007,9,4,8.513225
2007,9,5,9.45654
2007,9,6,8.601282
2007,9,7,10.663866
2007,9,8,11.764378
2007,9,9,15.718897
2007,9,10,16.357203
2007,9,11,12.948884
2007,9,12,7.0022783
2007,9,13,15.0855
2007,9,14,22.066761
2007,9,15,4.6061893
2007,9,16,9.7061825
2007,9,17,13.320786
2007,9,18,4.574747
2007,9,19,8.742918
2007,9,20,12.853106
2007,9,21,14.596673
2007,9,22,6.8024797
2007,9,23,13.212448
2007,9,24,7.7483397
2007,9,25,14.57997
2007,9,26,14.005578
2007,9,27,6.899011
2007,9,28,3.3060126
2007,9,29,3.1741822
2007,9,30,7.627436
2007,10,1,7.7920046
2007,10,2,10.09864
2007,10,3,8.875636
2007,10,4,8.3488035
2007,10,5,10.128064
2007,10,6,9.153191
2007,10,7,11.381371
2007,10,8,2.085022
2007,10,9,3.5529754
2007,10,10,3.7268786
2007,10,11,21.33473
2007,10,12,2.0462508
2007,10,13,10.463786
2007,10,14,7.954662
2007,10,15,14.739374
2007,10,16,11.57337
2007,10,17,12.359868
2007,10,18,7.7478523
2007,10,19,9.023106
2007,10,20,8.353387
2007,10,21,8.2785635
2007,10,22,13.9711075
2007,10,23,15.38985
2007,10,24,12.75777
2007,10,25,14.590955
2007,10,26,20.010637
2007,10,27,14.686364
2007,10,28,8.456675
2007,10,29,11.28465
2007,10,30,7.006662
2007,10,31,18.37403
2007,11,1,6.08477
2007,11,2,13.876905
2007,11,3,11.903431
2007,11,4,7.566918
2007,11,5,10.848515
2007,11,6,10.312447
2007,11,7,17.374125
2007,11,8,8.467421
2007,11,9,18.830723
2007,11,10,9.017908
2007,11,11,20.167612
2007,11,12,6.294001
2007,11,13,4.786248
2007,11,14,1.8092278
2007,11,15,4.6496787
2007,11,16,7.4084435
2007,11,17,14.061103
2007,11,18,7.4159293
2007,11,19,2.754629
2007,11,20,1.7235265
2007,11,21,8.32513
2007,11,22,17.403795
2007,11,23,7.3466506
2007,11,24,12.560651
2007,11,25,18.985624
2007,11,26,9.782803
2007,11,27,11.889799
2007,11,28,5.427711
2007,11,29,15.46554
2007,11,30,10.717064
2007,12,1,4.079572
2007,12,2,2.521023
2007,12,3,7.4887543
2007,12,4,9.444643
2007,12,5,13.02333
2007,12,6,6.9835877
2007,12,7,18.999058
2007,12,8,2.5085557
2007,12,9,8.18884
2007,12,10,10.994406
2007,12,11,1.1433458
2007,12,12,18.262512
2007,12,13,17.48729
2007,12,14,10.887897
2007,12,15,14.13812
2007,12,16,12.749988
2007,12,17,8.298174
2007,12,18,8.71583
2007,12,19,8.263239
2007,12,20,7.224198
2007,12,21,10.715788
2007,12,22,14.365771
2007,12,23,16.62364
2007,12,24,15.322825
2007,12,25,12.859871
2007,12,26,19.745892
2007,12,27,17.051243
2007,12,28,2.2005587
2007,12,29,15.519844
2007,12,30,11.347128
2007,12,31,14.235678
